id,problem,accept_rate,level
110,720,Longest Word in Dictionary (/problems/longest-word-in-dictionary),46.40%,Easy
111,994,Rotting Oranges (/problems/rotting-oranges),46.30%,Easy
112,27,Remove Element (/problems/remove-element),46.20%,Easy
113,1128,Number of Equivalent Domino Pairs (/problems/number-of-equivalent-domino-pairs),46.20%,Easy
114,119,Pascal's Triangle II (/problems/pascals-triangle-ii),46.00%,Easy
115,232,Implement Queue using Stacks (/problems/implement-queue-using-stacks),45.90%,Easy
116,9,Palindrome Number (/problems/palindrome-number),45.70%,Easy
117,191,Number of 1 Bits (/problems/number-of-1-bits),45.70%,Easy
118,70,Climbing Stairs (/problems/climbing-stairs),45.50%,Easy
119,270,Closest Binary Search Tree Value (/problems/closest-binary-search-tree-value),45.40%,Easy
120,415,Add Strings (/problems/add-strings),45.30%,Easy
121,53,Maximum Subarray (/problems/maximum-subarray),45.10%,Easy
122,101,Symmetric Tree (/problems/symmetric-tree),45.00%,Easy
123,1,Two Sum (/problems/two-sum),44.80%,Easy
124,437,Path Sum III (/problems/path-sum-iii),44.20%,Easy
125,83,Remove Duplicates from Sorted List (/problems/remove-duplicates-from-sorted-list),43.80%,Easy
126,819,Most Common Word (/problems/most-common-word),43.20%,Easy
127,572,Subtree of Another Tree (/problems/subtree-of-another-tree),43.00%,Easy
128,231,Power of Two (/problems/power-of-two),42.60%,Easy
129,345,Reverse Vowels of a String (/problems/reverse-vowels-of-a-string),42.50%,Easy
130,38,Count and Say (/problems/count-and-say),42.30%,Easy
131,482,License Key Formatting (/problems/license-key-formatting),42.20%,Easy
132,110,Balanced Binary Tree (/problems/balanced-binary-tree),42.10%,Easy
133,66,Plus One (/problems/plus-one),41.80%,Easy
134,225,Implement Stack using Queues (/problems/implement-stack-using-queues),41.70%,Easy
135,716,Max Stack (/problems/max-stack),41.50%,Easy
136,198,House Robber (/problems/house-robber),41.50%,Easy
137,67,Add Binary (/problems/add-binary),41.40%,Easy
138,645,Set Mismatch (/problems/set-mismatch),41.30%,Easy
139,35,Search Insert Position (/problems/search-insert-position),41.30%,Easy
140,299,Bulls and Cows (/problems/bulls-and-cows),40.90%,Easy
141,459,Repeated Substring Pattern (/problems/repeated-substring-pattern),40.70%,Easy
142,155,Min Stack (/problems/min-stack),39.80%,Easy
143,112,Path Sum (/problems/path-sum),39.20%,Easy
144,443,String Compression (/problems/string-compression),39.00%,Easy
145,141,Linked List Cycle (/problems/linked-list-cycle),38.80%,Easy
146,205,Isomorphic Strings (/problems/isomorphic-strings),38.60%,Easy
147,20,Valid Parentheses (/problems/valid-parentheses),37.60%,Easy
148,88,Merge Sorted Array (/problems/merge-sorted-array),37.40%,Easy
149,234,Palindrome Linked List (/problems/palindrome-linked-list),37.40%,Easy
150,203,Remove Linked List Elements (/problems/remove-linked-list-elements),36.70%,Easy
151,160,Intersection of Two Linked Lists (/problems/intersection-of-two-linked-lists),36.60%,Easy
152,196,Delete Duplicate Emails (/problems/delete-duplicate-emails),36.40%,Easy
153,111,Minimum Depth of Binary Tree (/problems/minimum-depth-of-binary-tree),36.20%,Easy
154,290,Word Pattern (/problems/word-pattern),35.90%,Easy
155,507,Perfect Number (/problems/perfect-number),35.10%,Easy
156,687,Longest Univalue Path (/problems/longest-univalue-path),34.80%,Easy
157,14,Longest Common Prefix (/problems/longest-common-prefix),34.40%,Easy
158,190,Reverse Bits (/problems/reverse-bits),33.80%,Easy
159,28,Implement strStr() (/problems/implement-strstr),33.30%,Easy
160,125,Valid Palindrome (/problems/valid-palindrome),33.20%,Easy
161,69,Sqrt(x) (/problems/sqrtx),32.50%,Easy
162,189,Rotate Array (/problems/rotate-array),32.20%,Easy
163,581,Shortest Unsorted Continuous Subarray (/problems/shortest-unsorted-continuous-subarray),30.60%,Easy
164,532,K-diff Pairs in an Array (/problems/k-diff-pairs-in-an-array),30.60%,Easy
165,204,Count Primes (/problems/count-primes),30.20%,Easy
166,414,Third Maximum Number (/problems/third-maximum-number),29.70%,Easy
167,176,Second Highest Salary (/problems/second-highest-salary),29.10%,Easy
168,7,Reverse Integer (/problems/reverse-integer),25.60%,Easy
